# origin	classification	frequency
Old French 	French	3988
French 	French	2380
Middle French 	French	1163
Old North French 	French	73
Canadian French 	French	7
Louisiana French 	French	4
French and Old French 	French	2
French form of 	French	2
French or German 	French	2
French phrase 	French	2
Old French and French 	French	2
Old French dialectal 	French	2
Canadian French dialectal 	French	1
Canadian French variant of French 	French	1
Creole French pronunciation of French 	French	1
English pronunciation of French 	French	1
French abbreviation of 	French	1
French assimilation of 	French	1
French Canadian 	French	1
French cooking term 	French	1
French form of Medieval Latin 	French	1
French noun use of 	French	1
French noun use of Middle French 	French	1
French slang 	French	1
French that is related to 	French	1
Haitian or Dominican Creole 	French	1
Italian or French 	French	1
Middle French noun use of 	French	1
New Orleans French 	French	1
Norman French 	French	1
O French 	French	1
Old French form of Welsh 	French	1
Old French such as 	French	1
Old French verb 	French	1
Old North French form of Old High German 	French	1
Savoy French 	French	1
Swiss French 	French	1
Walloon 	French	1
Latin 	Latin	3818
Late Latin 	Latin	765
Medieval Latin 	Latin	610
Modern Latin 	Latin	280
Latinized form of Greek 	Latin	186
Church Latin 	Latin	22
Latin stem of 	Latin	20
Latinized combining form of Greek 	Latin	16
Vulgar Latin 	Latin	16
Latinized form of 	Latin	7
Latin phrase 	Latin	6
Modern Latin genus name 	Latin	3
Roman 	Latin	3
Latin noun use of adjective 	Latin	2
Latin plural of 	Latin	2
Latin preposition 	Latin	2
Irish Latin 	Latin	1
Late Latin adjective 	Latin	1
Late Latin noun use of Latin 	Latin	1
Late Latin or Medieval Latin 	Latin	1
Latin adjectival suffix 	Latin	1
Latin adverb and preposition 	Latin	1
Latin combining form of 	Latin	1
Latin constellation name 	Latin	1
Latin form of Greek 	Latin	1
Latin form of the name of 	Latin	1
Latin source of 	Latin	1
Latin stem 	Latin	1
Latin third person singular of 	Latin	1
Latin words ending in 	Latin	1
Latinizations of Greek 	Latin	1
Latinized combining form of 	Latin	1
Latinized compound of Greek 	Latin	1
Latinized corruption of Arabic 	Latin	1
Latinized form of Ecclesiastical Greek 	Latin	1
Latinized form of French 	Latin	1
Latinized form of German 	Latin	1
Latinized form of Greek adverb 	Latin	1
Latinized form of Greek elements 	Latin	1
Latinized form of name of Antonio 	Latin	1
Latinized form of Spanish 	Latin	1
Latinized form of surname of Georg Joseph 	Latin	1
Latinized form of surname of Robert 	Latin	1
Latinized form of the name of Gabriello 	Latin	1
Latinized forms of Greek 	Latin	1
Latinized name of Michel de 	Latin	1
Latinized plural of Greek 	Latin	1
Medeival Latin 	Latin	1
Medieval Latin ablative of 	Latin	1
Medieval Latin alteration of Greek 	Latin	1
Medieval Latin or Italian 	Latin	1
Medieval Latin stem of 	Latin	1
Middle Latin 	Latin	1
Modern Latin noun use of Latin 	Latin	1
Modern Latin order name 	Latin	1
Modern Latin plural 	Latin	1
Modern Latin special use of Latin 	Latin	1
Modernl Latin 	Latin	1
Mwdieval Latin 	Latin	1
Old French or Medieval Latin usually already had been leveled to 	Latin	1
Old Italian or Medieval Latin 	Latin	1
Oscan 	Latin	1
Old English 	West Germanic	711
German 	West Germanic	339
Middle English 	West Germanic	201
Dutch 	West Germanic	111
Middle Dutch 	West Germanic	78
West Germanic 	West Germanic	58
Yiddish 	West Germanic	36
Old High German 	West Germanic	30
PIE 	West Germanic	30
PIE root 	West Germanic	28
Low German 	West Germanic	19
Middle Low German 	West Germanic	19
Middle Dutch or Middle Low German 	West Germanic	15
Scottish 	West Germanic	11
Flemish 	West Germanic	7
Dutch or Low German 	West Germanic	6
Afrikaans 	West Germanic	5
Middle Low German or Middle Dutch 	West Germanic	5
Middle English noun 	West Germanic	4
Middle English verb 	West Germanic	4
Middle High German 	West Germanic	4
Pennsylvania German 	West Germanic	4
Dutch or Flemish 	West Germanic	3
Germanic 	West Germanic	3
Middle English adjective 	West Germanic	3
Old English noun 	West Germanic	3
English 	West Germanic	2
Middle English phrase 	West Germanic	2
Middle Flemish 	West Germanic	2
Old Dutch 	West Germanic	2
Old English phrase 	West Germanic	2
Scottish dialectal 	West Germanic	2
Afrikaans Dutch 	West Germanic	1
American Yiddish 	West Germanic	1
Dutch dialect 	West Germanic	1
Dutch form of 	West Germanic	1
East Anglian dialectal 	West Germanic	1
East Anglian dialectic 	West Germanic	1
East Frisian 	West Germanic	1
East Yiddish 	West Germanic	1
Flemish and Dutch 	West Germanic	1
Frankish 	West Germanic	1
German and Dutch 	West Germanic	1
German bacteriologist August Paul 	West Germanic	1
German dialectal diminutive of 	West Germanic	1
German diminutive of 	West Germanic	1
German or French 	West Germanic	1
German printer and bookseller Karl 	West Germanic	1
German shortening of 	West Germanic	1
German slang 	West Germanic	1
Germanic abstract noun 	West Germanic	1
Germanic elements 	West Germanic	1
Germanic stem 	West Germanic	1
Kentish and northern English forms of Old English 	West Germanic	1
Middle Dutch or Flemish 	West Germanic	1
Middle Dutch or Low German 	West Germanic	1
Middle Dutch or Middle Flemish 	West Germanic	1
Middle English as Northern English and Scottish form of 	West Germanic	1
Middle English manuscripts include 	West Germanic	1
Middle English past participle of 	West Germanic	1
Middle Low German and Middle Dutch 	West Germanic	1
ModE 	West Germanic	1
North Frisian 	West Germanic	1
Northern English dialect 	West Germanic	1
Old English adjective 	West Germanic	1
Old English also had a verb 	West Germanic	1
Old English conjunction 	West Germanic	1
Old English or Old Norse 	West Germanic	1
Old English past participle 	West Germanic	1
Old English past tense of 	West Germanic	1
Old English plural 	West Germanic	1
Old English use of 	West Germanic	1
Old English verb 	West Germanic	1
Old Frisian 	West Germanic	1
Old Saxon 	West Germanic	1
PIE adjectival suffix 	West Germanic	1
PIE demonstrative stem 	West Germanic	1
PIE imitative root 	West Germanic	1
PIE pronominal stem 	West Germanic	1
PIE verbal stem 	West Germanic	1
Scottish and Northern English 	West Germanic	1
Scottish word 	West Germanic	1
South African Dutch 	West Germanic	1
Swiss dialect 	West Germanic	1
West Flemish 	West Germanic	1
West Germanic compound 	West Germanic	1
West Midlands dialect 	West Germanic	1
Greek 	Greek	1085
Ecclesiastical Greek 	Greek	4
Late Greek 	Greek	4
Modern Greek 	Greek	4
Biblical 	Greek	1
Biblical name 	Greek	1
Greek diminutive of 	Greek	1
Greek elements 	Greek	1
Greek form of 	Greek	1
Greek letter 	Greek	1
Greek stem 	Greek	1
Medieval Greek 	Greek	1
Old Greek 	Greek	1
Thracian Greek 	Greek	1
Italian 	Romance (other)	292
Spanish 	Romance (other)	179
Portuguese 	Romance (other)	43
American Spanish 	Romance (other)	29
Mexican Spanish 	Romance (other)	17
Spanish or Portuguese 	Romance (other)	7
Spanish and Portuguese 	Romance (other)	5
Old Italian 	Romance (other)	4
Portuguese or Spanish 	Romance (other)	3
Catalan 	Romance (other)	2
Italian or Spanish 	Romance (other)	2
American Spanish cognate of 	Romance (other)	1
Argentine Spanish 	Romance (other)	1
Cuban Spanish 	Romance (other)	1
Florenz 	Romance (other)	1
Italian plural of 	Romance (other)	1
Mexican Spanish dialectal pronunciation of 	Romance (other)	1
Milanese dialect 	Romance (other)	1
Neapolitan 	Romance (other)	1
Occitan 	Romance (other)	1
Old Spanish 	Romance (other)	1
Portuguese alteration of 	Romance (other)	1
Spanish and Italian form of 	Romance (other)	1
Spanish and Portuguese plural of 	Romance (other)	1
Spanish or American Spanish 	Romance (other)	1
Spanish or Italian 	Romance (other)	1
Venetian dialect 	Romance (other)	1
West Indian Spanish 	Romance (other)	1
Old Norse 	North Germanic	232
