"written_rep_a"	"lex_entry_a"	"sense_a"	"trans"	"sense_b"	"lex_entry_b"	"written_rep_b"	"POS"
"acá"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/ac%C3%A1-adv-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/ac%C3%A1_ac%C3%A1-adv-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/ac%C3%A1_ac%C3%A1-adv-es-sense-ac%C3%A1_ac%C3%A1-adv-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/ac%C3%A1_ac%C3%A1-adv-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/ac%C3%A1-adv-an"	"acá"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adverb"
"allá"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/all%C3%A1-adv-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/all%C3%A1_all%C3%A1-adv-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/all%C3%A1_all%C3%A1-adv-es-sense-all%C3%A1_all%C3%A1-adv-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/all%C3%A1_all%C3%A1-adv-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/all%C3%A1-adv-an"	"allá"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adverb"
"allí"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/all%C3%AD-adv-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/all%C3%AD_all%C3%AD-adv-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/all%C3%AD_all%C3%AD-adv-es-sense-all%C3%AD_all%C3%AD-adv-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/all%C3%AD_all%C3%AD-adv-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/all%C3%AD-adv-an"	"allí"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adverb"
"dentro"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/dentro-adv-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/dentro_dentro-adv-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/dentro_dentro-adv-es-sense-dentro_dentro-adv-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/dentro_dentro-adv-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/dentro-adv-an"	"dentro"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adverb"
"debajo"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/debajo-adv-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/debajo_debaixo-adv-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/debajo_debaixo-adv-es-sense-debaixo_debajo-adv-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/debaixo_debajo-adv-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/debaixo-adv-an"	"debaixo"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adverb"
"mismo"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/mismo-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/mismo_mesmo-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/mismo_mesmo-adj-es-sense-mesmo_mismo-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/mesmo_mismo-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/mesmo-adj-an"	"mesmo"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"aragonés"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/aragon%C3%A9s-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/aragon%C3%A9s_aragon%C3%A9s-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/aragon%C3%A9s_aragon%C3%A9s-adj-es-sense-aragon%C3%A9s_aragon%C3%A9s-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/aragon%C3%A9s_aragon%C3%A9s-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/aragon%C3%A9s-adj-an"	"aragonés"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"portugués"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/portugu%C3%A9s-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/portugu%C3%A9s_portugu%C3%A9s-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/portugu%C3%A9s_portugu%C3%A9s-adj-es-sense-portugu%C3%A9s_portugu%C3%A9s-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/portugu%C3%A9s_portugu%C3%A9s-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/portugu%C3%A9s-adj-an"	"portugués"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"polaco"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/polaco-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/polaco_polon%C3%A9s-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/polaco_polon%C3%A9s-adj-es-sense-polon%C3%A9s_polaco-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/polon%C3%A9s_polaco-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/polon%C3%A9s-adj-an"	"polonés"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"neerlandés"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/neerland%C3%A9s-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/neerland%C3%A9s_neerland%C3%A9s-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/neerland%C3%A9s_neerland%C3%A9s-adj-es-sense-neerland%C3%A9s_neerland%C3%A9s-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/neerland%C3%A9s_neerland%C3%A9s-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/neerland%C3%A9s-adj-an"	"neerlandés"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
